Date,PX_LAST
2019-02-28,134.5
2019-01-31,133.6
2018-12-31,133.4
2018-11-30,133.5
2018-10-31,134.1
2018-09-30,133.7
2018-08-31,134.2
2018-07-31,134.3
2018-06-30,133.6
2018-05-31,133.4
2018-04-30,133.3
2018-03-31,132.9
2018-02-28,132.5
2018-01-31,131.7
2017-12-31,130.8
2017-11-30,131.3
2017-10-31,130.9
2017-09-30,130.8
2017-08-31,130.5
2017-07-31,130.4
2017-06-30,130.4
2017-05-31,130.5
2017-04-30,130.4
2017-03-31,129.9
2017-02-28,129.7
2017-01-31,129.5
2016-12-31,128.4
2016-11-30,128.6
2016-10-31,129.1
2016-09-30,128.8
2016-08-31,128.7
2016-07-31,128.9
2016-06-30,129.1
2016-05-31,128.8
2016-04-30,128.3
2016-03-31,127.9
2016-02-29,127.1
2016-01-31,126.8
2015-12-31,126.5
2015-11-30,127.1
2015-10-31,127.2
2015-09-30,127.1
2015-08-31,127.3
2015-07-31,127.3
2015-06-30,127.2
2015-05-31,126.9
2015-04-30,126.2
2015-03-31,126.3
2015-02-28,125.4
2015-01-31,124.3
2014-12-31,124.5
2014-11-30,125.4
2014-10-31,125.9
2014-09-30,125.8
2014-08-31,125.7
2014-07-31,125.7
2014-06-30,125.9
2014-05-31,125.8
2014-04-30,125.2
2014-03-31,124.8
2014-02-28,124.1
2014-01-31,123.1
2013-12-31,122.7
2013-11-30,123
2013-10-31,123
2013-09-30,123.3
2013-08-31,123.1
2013-07-31,123.1
2013-06-30,123
2013-05-31,123
2013-04-30,122.7
2013-03-31,122.9
2013-02-28,122.7
2013-01-31,121.3
2012-12-31,121.2
2012-11-30,121.9
2012-10-31,122.2
2012-09-30,122
2012-08-31,121.8
2012-07-31,121.5
2012-06-30,121.6
2012-05-31,122.1
2012-04-30,122.2
2012-03-31,121.7
2012-02-29,121.2
2012-01-31,120.7
2011-12-31,120.2
2011-11-30,120.9
2011-10-31,120.8
2011-09-30,120.6
2011-08-31,120.3
2011-07-31,120
2011-06-30,119.8
2011-05-31,120.6
2011-04-30,119.8
2011-03-31,119.4
2011-02-28,118.1
2011-01-31,117.8
2010-12-31,117.5
2010-11-30,117.5
2010-10-31,117.4
2010-09-30,116.9
2010-08-31,116.7
2010-07-31,116.8
2010-06-30,116.2
2010-05-31,116.3
2010-04-30,116
2010-03-31,115.6
2010-02-28,115.6
2010-01-31,115.1
2009-12-31,114.8
2009-11-30,115.2
2009-10-31,114.6
2009-09-30,114.7
2009-08-31,114.7
2009-07-31,114.7
2009-06-30,115.1
2009-05-31,114.7
2009-04-30,113.9
2009-03-31,114
2009-02-28,113.8
2009-01-31,113
2008-12-31,113.3
2008-11-30,114.1
2008-10-31,114.5
2008-09-30,115.7
2008-08-31,115.6
2008-07-31,115.8
2008-06-30,115.4
2008-05-31,114.6
2008-04-30,113.5
2008-03-31,112.6
2008-02-29,112.2
2008-01-31,111.8
2007-12-31,112
2007-11-30,111.9
2007-10-31,111.6
2007-09-30,111.9
2007-08-31,111.7
2007-07-31,112
2007-06-30,111.9
2007-05-31,112.1
2007-04-30,111.6
2007-03-31,111.1
2007-02-28,110.2
2007-01-31,109.4
2006-12-31,109.4
2006-11-30,109.2
2006-10-31,109
2006-09-30,109.2
2006-08-31,109.8
2006-07-31,109.6
2006-06-30,109.5
2006-05-31,109.7
2006-04-30,109.2
2006-03-31,108.6
2006-02-28,108
2006-01-31,108.2
2005-12-31,107.6
2005-11-30,107.7
2005-10-31,107.9
2005-09-30,108.4
2005-08-31,107.5
2005-07-31,107.1
2005-06-30,106.9
2005-05-31,106.7
2005-04-30,106.6
2005-03-31,106.3
2005-02-28,105.7
2005-01-31,105.3
2004-12-31,105.4
2004-11-30,105.6
2004-10-31,105.2
2004-09-30,105
2004-08-31,104.8
2004-07-31,105
2004-06-30,105.1
2004-05-31,105
2004-04-30,104.1
2004-03-31,103.9
2004-02-29,103.5
2004-01-31,103.3
2003-12-31,103.2
2003-11-30,103.1
2003-10-31,102.8
2003-09-30,103.1
2003-08-31,102.9
2003-07-31,102.6
2003-06-30,102.5
2003-05-31,102.5
2003-04-30,102.4
2003-03-31,103.1
2003-02-28,102.8
2003-01-31,102
2002-12-31,101.1
2002-11-30,101.5
2002-10-31,101.2
2002-09-30,100.9
2002-08-31,100.9
2002-07-31,100.5
2002-06-30,99.9
2002-05-31,99.7
2002-04-30,99.5
2002-03-31,98.9
2002-02-28,98.2
2002-01-31,97.6
2001-12-31,97.4
2001-11-30,97.2
2001-10-31,98.1
2001-09-30,98.6
2001-08-31,98.4
2001-07-31,98.4
2001-06-30,98.7
2001-05-31,98.6
2001-04-30,97.8
2001-03-31,97.1
2001-02-28,96.8
2001-01-31,96.3
2000-12-31,96.7
2000-11-30,96.6
2000-10-31,96.3
2000-09-30,96.1
2000-08-31,95.7
2000-07-31,95.8
2000-06-30,95.5
2000-05-31,94.9
2000-04-30,94.5
2000-03-31,94.8
2000-02-29,94.1
2000-01-31,93.5
1999-12-31,93.7
1999-11-30,93.6
1999-10-31,93.7
1999-09-30,93.6
1999-08-31,93.3
1999-07-31,93.1
1999-06-30,92.9
1999-05-31,92.7
1999-04-30,92.5
